name,address,place_in_rating,average_rating,curl
Зис,"Ленсовета, 36, Санкт-Петербург 196143 Россия",0.8596750369276218,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8351649-Reviews-Zis-St_Petersburg_Northwestern_District.html
Эпсилон,"ул. Ломоносова, 13, Санкт-Петербург 191002 Россия",0.8611521418020679,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6706441-Reviews-Epsilon-St_Petersburg_Northwestern_District.html
Аверс паб,"ул. Восстания, 42А, Санкт-Петербург 191123 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12211445-Reviews-Avers_Pub-St_Petersburg_Northwestern_District.html
Рис на Бис!,"Тобольская, 12, Санкт-Петербург 194044 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8349231-Reviews-Rice_Na_Bis-St_Petersburg_Northwestern_District.html
Ресторан VSЁХОРОШО!,"ул. Бухарестская, 31, Санкт-Петербург 192071 Россия",0.010479041916167664,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11677913-Reviews-Vse_Khorosho_Restaurant_Club-St_Petersburg_Northwestern_District.html
"Гастробар ""KoraDuba""","переулок Гривцова д.20, Санкт-Петербург 191028 Россия",0.01347305389221557,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12086456-Reviews-Gastrobar_KoraDuba-St_Petersburg_Northwestern_District.html
Фарш и бочка,"ул. Белинского, 11, Санкт-Петербург 191014 Россия",0.02195121951219512,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7272180-Reviews-Farsh_Bochka-St_Petersburg_Northwestern_District.html
FULL HOUSE Restobar,"Наб. Канала Грибоедова, 27 Санкт-Петербург, Санкт-Петербург 191186 Россия",0.024390243902439025,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10459870-Reviews-FULL_HOUSE_Restobar-St_Petersburg_Northwestern_District.html
Ресторан VSЁХОРОШО!,"пр. Науки, 38, Санкт-Петербург 195252 Россия",0.05030181086519115,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7220819-Reviews-VSEKHOROSHO_Club_Restaurant-St_Petersburg_Northwestern_District.html
Al Capone Bar,"ул. Жуковского, 7, Санкт-Петербург Россия",0.08682634730538923,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12144989-Reviews-Al_Capone_Bar-St_Petersburg_Northwestern_District.html
КвакИнн,"ул. Звенигородская, д. 2/44, Санкт-Петербург 191119 Россия",0.058823529411764705,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6819507-Reviews-Kwakinn-St_Petersburg_Northwestern_District.html
Чешская пивоварня Старгород,"ул. Казанская, д. 7, Санкт-Петербург 191186 Россия",0.07142857142857142,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6785357-Reviews-Stargorod_Czech_Brewery-St_Petersburg_Northwestern_District.html
Цветочки,"Некрасова, 17, Санкт-Петербург 191014 Россия",0.0,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6684689-Reviews-Tsvetochki-St_Petersburg_Northwestern_District.html
Бар Pinch,"Белинского улица, дом 5, Санкт-Петербург 191014 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10521357-Reviews-Pinch_Bar-St_Petersburg_Northwestern_District.html
Mr. Rowdy & Co,"ул. Рубинштейна, 27, Санкт-Петербург 191002 Россия",0.06097560975609756,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14109457-Reviews-Mr_Rowdy_Co-St_Petersburg_Northwestern_District.html
Redrum,"ул. Некрасова, 26, Санкт-Петербург Россия",0.11816838995568685,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7644389-Reviews-Redrum-St_Petersburg_Northwestern_District.html
Эл Копитас,"Колокольная, 2, Санкт-Петербург 191025 Россия",0.17142857142857143,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346283-Reviews-El_Copitas-St_Petersburg_Northwestern_District.html
ART LAB MEDOVARUS,"Мучной переулок, 5, Санкт-Петербург 191023 Россия",0.1024390243902439,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15816700-Reviews-Art_Lab_Medovarus-St_Petersburg_Northwestern_District.html
Punk Brew,"ул. Рубинштеина, 9, Санкт-Петербург Россия",0.1964549483013294,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d9580274-Reviews-Punk_Brew-St_Petersburg_Northwestern_District.html
Пиворама,"Просвещения проспект, 19 лит А, Санкт-Петербург 194356 Россия",0.11468812877263582,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6119503-Reviews-Pivorama-St_Petersburg_Northwestern_District.html
НЕКАНОН,"Лиговский проспект, 50/6, Санкт-Петербург 191040 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15710497-Reviews-NEKANON-St_Petersburg_Northwestern_District.html
Fillin' Good,"Жуковского, 28, Санкт-Петербург 191014 Россия",0.2171344165435746,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14944385-Reviews-Fillin_Good-St_Petersburg_Northwestern_District.html
"Бар ""Дружба""","ул.Звездная, 2, Санкт-Петербург Россия",0.16341463414634147,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8819239-Reviews-Gastrobar_Druzhba-St_Petersburg_Northwestern_District.html
Лет Ит Бар,"реки Фонтанки наб., 9, Санкт-Петербург 191011 Россия",0.22304283604135894,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695405-Reviews-LET_IT_BAR-St_Petersburg_Northwestern_District.html
Бельгийская брассерия Палм,"ул. Большая Kонюшенная, 29, Санкт-Петербург 191186 Россия",0.2549019607843137,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7236902-Reviews-Belgian_Brasserie_Palm-St_Petersburg_Northwestern_District.html
Barking Raccoon,"Наб. реки Фонтанки, 59, Санкт-Петербург 191023 Россия",0.25,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10461844-Reviews-Barking_Raccoon-St_Petersburg_Northwestern_District.html
Сайгон,"ул. Рубинштейна, 1, Санкт-Петербург 191025 Россия",0.26292466765140327,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8274268-Reviews-Saigon-St_Petersburg_Northwestern_District.html
Пурга,"Фонтанки р. наб., д. 11, Санкт-Петербург 191011 Россия",0.29098966026587886,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d3771167-Reviews-Purga-St_Petersburg_Northwestern_District.html
Рюмочная на Боровой,"Боровая, 6, Санкт-Петербург 191119 Россия",0.20920502092050208,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15038535-Reviews-Ryumochnaya_na_Borovoi-St_Petersburg_Northwestern_District.html
Ягер рестопаб,"Невский пр., 84-86, Санкт-Петербург Россия",0.2413793103448276,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10021776-Reviews-Jager_restopub-St_Petersburg_Northwestern_District.html
Jazz Bar 48 Chairs,"ул. Большая Конюшенная, 2, Санкт-Петербург 191186 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11797990-Reviews-Jazz_Bar_48_Chairs-St_Petersburg_Northwestern_District.html
Warszawa Bar,"ул. Казанская, д. 11, Санкт-Петербург 191186 Россия",0.3353028064992615,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d3768670-Reviews-Warszawa_Bar-St_Petersburg_Northwestern_District.html
"Мама, Я Не Пил","ул. Пестеля, 21, Санкт-Петербург 191028 Россия",0.3500738552437223,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12273049-Reviews-Mama_Ya_Ne_Pil-St_Petersburg_Northwestern_District.html
TeslaBar,"Ул. Рубинштейна, 30, Санкт-Петербург 191002 Россия",0.35302806499261447,"3,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7785744-Reviews-TeslaBar-St_Petersburg_Northwestern_District.html
