latitude,longitude,name
30.142547,59.836857,Лагуна
30.34995,59.928492,Cheesy RoxY
30.617522,59.74266,Абсент бар
30.561521,59.744714,Шашлык-Машлык
30.421151,59.697701,Заимка
30.573047,59.750703,Терем
30.322075,59.930633,Coverdale
30.307972,59.969205,Darmagi Cocktail Bar
30.224384,60.026303,Якобы бар
29.961788,60.116078,Ibiza
30.359508,59.930944,Lounge P.S. Bar
30.35066,59.922774,Bar Comeback
30.338829,59.92148,Ноу Рутс Бар
30.392647,59.844032,Mishka Shop&Bar
30.238281,59.93296,Валета
30.349456,59.935845,QUINTA. Porto & Cocktails
30.282487,59.938531,Цифровой бар D3C0D3 | DECODE
30.288425,59.953493,Hand Werpen Pub
30.328409,59.914922,AMA Lounge Bar
30.363398,59.941853,Бар Повторить?
30.315913,59.925723,Чик'с Бар
30.35331,59.938689,Палата №6
30.314548,59.91254,На Волне
30.29403,60.029058,Holy Hop
30.368051,59.929628,Hoptimist Bar
30.316901,59.91198,То Место
30.359185,59.938608,Бирлога
30.326774,59.932315,BarStudio 1/28
30.362338,59.937436,Кости бар
30.243419,60.031207,Животоff
30.315024,59.932518,Brewmen Taproom
30.409616,60.043179,Талисман
30.360919,59.939717,Всевсад
30.224384,60.026303,Встреча
30.304504,59.960453,Сансет Лаунж
30.308655,59.969205,Шейкер
30.41056,59.896224,Руспина
